   Format  Mode  Description
     NULL*  r--  Constant image of uniform color
      OTB*  rw-  On-the-air bitmap
       P7*  rw+  Xv thumbnail format
      PAL*  rw-  16bit/pixel interleaved YUV
      PBM*  rw+  Portable bitmap format (black and white)
      PCD*  rw-  Photo CD
     PCDS*  rw-  Photo CD
      PCL*  -w-  Page Control Language
      PCT*  rw-  Apple Macintosh QuickDraw/PICT
      PCX*  rw-  ZSoft IBM PC Paintbrush
      PDB*  r--  Pilot Image Format
      PDF*  rw+  Portable Document Format
      PFA*  r--  TrueType font
      PFB*  r--  TrueType font
      PFM*  r--  TrueType font
      PGM*  rw+  Portable graymap format (gray scale)
    PICON*  rw-  Personal Icon
     PICT*  rw-  Apple Macintosh QuickDraw/PICT
      PIX*  r--  Alias/Wavefront RLE image format
   PLASMA*  r--  Plasma fractal image
       PM*  rw-  X Windows system pixmap (color)
      PNG*  rw-  Portable Network Graphics
      PNM*  rw+  Portable anymap
      PPM*  rw+  Portable pixmap format (color)
  PREVIEW*  -w-  Show a preview an image enhancement, effect, or f/x
       PS*  rw+  Adobe PostScript
      PS2*  -w+  Adobe Level II PostScript
      PS3*  -w+  Adobe Level III PostScript
      PSD*  rw+  Adobe Photoshop bitmap
     PTIF*  rw-  Pyramid encoded TIFF
      PWP*  r--  Seattle Film Works
      RAS*  rw+  SUN Rasterfile
      RGB*  rw+  Raw red, green, and blue samples
     RGBA*  rw+  Raw red, green, blue, and matte samples
      RLA*  r--  Alias/Wavefront image
      RLE*  r--  Utah Run length encoded image
      SCT*  r--  Scitex HandShake
      SGI*  rw+  Irix RGB image
    SHTML*  -w-  Hypertext Markup Language and a client-side image map
  STEGANO*  r--  Steganographic image
      SUN*  rw+  SUN Rasterfile
      SVG*  rw+  Scalable Vector Gaphics
     TEXT*  rw+  Raw text
      TGA*  rw+  Truevision Targa image
      TIF*  rw+  Tagged Image File Format
     TIFF*  rw+  Tagged Image File Format
     TILE*  r--  Tile image with a texture
      TIM*  r--  PSX TIM
      TTF*  r--  TrueType font
      TXT*  rw+  Raw text
      UIL*  -w-  X-Motif UIL table
     UYVY*  rw-  16bit/pixel interleaved YUV
      VDA*  rw+  Truevision Targa image
    VICAR*  rw-  VICAR rasterfile format
      VID*  rw+  Visual Image Directory
     VIFF*  rw+  Khoros Visualization image
      VST*  rw+  Truevision Targa image
     WBMP*  rw-  Wireless Bitmap (level 0) image
      WPG*  r--  Word Perfect Graphics
        X*  rw-  X Image
      XBM*  rw-  X Windows system bitmap (black and white)
       XC*  r--  Constant image uniform color
      XCF*  r--  GIMP image
      XPM*  rw-  X Windows system pixmap (color)
       XV*  rw+  Khoros Visualization image
      XWD*  rw-  X Windows system window dump (color)
      YUV*  rw-  CCIR 601 4:1:1

* native blob support

